番号,十二の基礎運,タイプ,特徴
1,タテ型,人生の勝利者を目指すタイプ,ガンコ、不撓不屈(ふとうふくつ)、自信家、負けず嫌い、完璧主義
2,ヨコ型,"望される""紳士淑女""を目指すタイプ",プライドが高いブランド志向、礼儀正しい目立ちがり屋
3,斜め型,誰からも愛される人気スターを目指すタイプ,天真爛漫、潔癖症、しっかり者、直情的、純粋、喜怒哀楽が激しい
4,上下型,人のために尽くして生きるタイプ,まじめ、勤勉、働き者、勇猛果敢、猪突猛進、忍耐強い。
5,オール同数型,類まれなる奇跡的な運の持ち主,まじめ、天才的、個性的、がむしゃら、凝り性、独断的。
6,表十字型,奇抜な発想や行動をするタイプ,頭脳明晰、気まぐれ、慎重、大胆、変わり者
7,順序型,バランスの優れた人格者タイプ,やさしい、従順、粘り強い、柔軟、人望が厚い
8,隔離型,世の中のパイオニアを目指すタイプ,純真、好奇心旺盛、ロマンチスト、ユニーク
9,中一差型,辛抱して道が開けるタイプ,コツコツタイプ、穏やか、辛坊強い
10,中ニ差型,波乱は多いが乗り越えれば道が開けるタイプ,大器晩成、器が大きい
11,中広型,超人的な生き方を目指すタイプ,純粋、ナイーブ、怖いもの知らず、情にもろい、自己陶酔型
12,中順序型,波乱万丈な人生を知性で生き抜くタイプ,頭脳明晰、慎重、まじめ、優柔不断
